date,team_tag,player_name,metric,period,value
2026-07-26,DFM,ミル,video_upload_count,jun_late_2026,0
2026-07-26,DFM,ミル,video_upload_count,may_early_2026,0
2026-07-26,DFM,ミル,video_upload_count,may_late_2026,0
2026-07-26,DFM,ミル,video_upload_count,regular_season,0
2026-07-26,DFM,ミル,video_view_count,jul_early_2026,0
2026-07-26,DFM,ミル,video_view_count,jul_late_2026,0
2026-07-26,DFM,ミル,video_view_count,jun_early_2026,0
2026-07-26,DFM,ミル,video_view_count,jun_late_2026,0
2026-07-26,DFM,ミル,video_view_count,may_early_2026,0
2026-07-26,DFM,ミル,video_view_count,may_late_2026,0
2026-07-26,DFM,ミル,video_view_count,regular_season,0
2026-07-26,DFM,ミル,watch_time,jul_early_2026,321
2026-07-26,DFM,ミル,watch_time,jul_late_2026,209
2026-07-26,DFM,ミル,watch_time,jun_early_2026,2284
2026-07-26,DFM,ミル,watch_time,jun_late_2026,1093
2026-07-26,DFM,ミル,watch_time,may_early_2026,691
2026-07-26,DFM,ミル,watch_time,may_late_2026,1363
2026-07-26,DFM,ミル,watch_time,regular_season,526
2026-07-26,DFM,ミル,youtube_subscribers,current,3960
2026-07-26,DFM,ユーリ,followers,current,14142
2026-07-26,DFM,ユーリ,stream_duration,apr_late_2026,56.4
2026-07-26,DFM,ユーリ,stream_duration,jul_early_2026,9.4
2026-07-26,DFM,ユーリ,stream_duration,jul_late_2026,16.6
2026-07-26,DFM,ユーリ,stream_duration,jun_early_2026,22.3
2026-07-26,DFM,ユーリ,stream_duration,jun_late_2026,27.3
2026-07-26,DFM,ユーリ,stream_duration,may_early_2026,11.7
2026-07-26,DFM,ユーリ,stream_duration,may_late_2026,19.5
2026-07-26,DFM,ユーリ,stream_duration,regular_season,26.0
2026-07-26,DFM,ユーリ,video_upload_count,apr_late_2026,0
2026-07-26,DFM,ユーリ,video_upload_count,jul_early_2026,0
2026-07-26,DFM,ユーリ,video_upload_count,jul_late_2026,0
